step	accuracy
0	54.21875
1	60.395833333333336
2	61.4375
3	64.58333333333333
4	65.17708333333333
5	66.14583333333333
6	65.78125
7	66.13541666666667
8	66.0
9	66.01041666666667
10	65.90625
11	65.90625
12	65.5625
13	66.05208333333333
14	65.67708333333333
15	65.875
16	65.9375
17	66.32291666666667
18	65.67708333333333
19	65.625
20	65.82291666666667
21	65.78125
22	66.17708333333333
23	66.04166666666667
24	65.54166666666667
