step	loss
0	1.142216008901596
1	1.0128006587425868
2	1.007584168513616
3	0.9166779165466626
4	0.9056173028548559
5	0.9060931158065796
6	0.900494523247083
7	0.8992115664482117
8	0.9060274561246237
9	0.8891088211536408
10	0.8977340620756149
11	0.8994193661212921
12	0.8982759843269984
13	0.9009251155455907
14	0.9030983927845955
15	0.8974249410629273
16	0.9040598583221435
17	0.8939756645758947
18	0.8986311300595602
19	0.9009807336330414
20	0.8978541634480158
21	0.9001266125837962
22	0.8892173904180527
23	0.8927933891614278
24	0.8999657221635182
